# x_m,y_m,w_tr_right_m,w_tr_left_m
-292.029942325104,-113.6918456011116,4.0,4.0
-291.9022523484595,-113.52143918887064,4.0,4.0
-291.77453180945037,-113.35103277630996,4.0,4.0
-291.64678070804746,-113.18061113899181,4.0,4.0
-291.51899904412437,-113.01019711548726,4.0,4.0
-291.3912173802548,-112.83976786631706,4.0,4.0
-291.263374591397,-112.66933100567113,4.0,4.0
-291.13553180246475,-112.49888653355295,4.0,4.0
-291.0076584510562,-112.32842683772904,4.0,4.0
-290.75188118767704,-111.98748460921279,4.0,4.0
-290.6239467134603,-111.81698685267457,4.0,4.0
-290.49595111449617,-111.64649671000451,4.0,4.0
-290.36792495335806,-111.47597611955356,4.0,4.0
-290.1119948793149,-111.13488926405316,4.0,4.0
-289.98396871722645,-110.96435344893462,4.0,4.0
-289.8559731208034,-110.79384808294517,4.0,4.0
-289.7279164011765,-110.62335032823688,4.0,4.0
-289.47177239919654,-110.28233959287043,4.0,4.0
-289.34368511491283,-110.11179616729298,4.0,4.0
-289.21559782878086,-109.94121467922402,4.0,4.0
-289.0874799787235,-109.77062557767444,4.0,4.0
-288.83225283853784,-109.42855679166604,4.0,4.0
-288.7054491740753,-109.25684874779063,4.0,4.0
-288.57855382197465,-109.08516354033232,4.0,4.0
-288.3250381792499,-108.74159521367565,4.0,4.0
-288.0719198474206,-108.39766152034075,4.0,4.0
-287.8189543300138,-108.05352230450227,4.0,4.0
-287.5660805002852,-107.70926890952302,4.0,4.0
-287.3132066688791,-107.3649241717405,4.0,4.0
-287.0602411490109,-107.02051853835832,4.0,4.0
-286.8071533820252,-106.6760063374335,4.0,4.0
-286.55391280345674,-106.33150175151931,4.0,4.0
-286.3007639101398,-105.98694387935404,4.0,4.0
-286.0475844571405,-105.64243168026353,4.0,4.0
-285.79434388574106,-105.29796515171194,4.0,4.0
-285.5410421878722,-104.95348339778454,4.0,4.0
-285.28774048283015,-104.60891791232245,4.0,4.0
-285.1610285033177,-104.43663897415283,4.0,4.0
-285.03431652290675,-104.26434481178542,4.0,4.0
-284.78080087170906,-103.91977170729736,4.0,4.0
-284.52719352862783,-103.57521382798737,4.0,4.0
-284.4004509799799,-103.40292727300955,4.0,4.0
-284.27364730511357,-103.23064833047924,4.0,4.0
-284.0200705159766,-102.88610566796928,4.0,4.0
-283.7664020323337,-102.54162389846351,4.0,4.0
-283.63953722457245,-102.36934495163428,4.0,4.0
-283.51270297580965,-102.19704316808422,4.0,4.0
-283.2589427838364,-101.85240915317354,4.0,4.0
-283.0050908989584,-101.5077599096505,4.0,4.0
-282.7511778865468,-101.16310305331254,4.0,4.0
-282.49717318546067,-100.81843097279523,4.0,4.0
-282.243107360339,-100.47378933893842,4.0,4.0
-281.98907210146496,-100.12919337701686,4.0,4.0
-281.7349757209921,-99.78462025190771,4.0,4.0
-281.48081821850064,-99.4400851840991,4.0,4.0
-281.3537394681168,-99.26785190380812,4.0,4.0
-281.2266301555445,-99.09561101364821,4.0,4.0
-280.9724726564588,-98.75117489964141,4.0,4.0
-280.8453327817639,-98.57897206760498,4.0,4.0
-280.71822346916775,-98.40679206920208,4.0,4.0
-280.4640354036972,-98.06242446246524,4.0,4.0
-280.20981677352336,-97.71808729888706,4.0,4.0
-280.08267689477805,-97.54595297172483,4.0,4.0
-279.95550645157243,-97.37381102873793,4.0,4.0
-279.7011961224319,-97.02949669838003,4.0,4.0
-279.4468552206775,-96.68510624320149,4.0,4.0
-279.31965420464337,-96.51289579134277,4.0,4.0
-279.19239206282924,-96.34068533929482,4.0,4.0
-278.9378677771652,-95.99627965499545,4.0,4.0
-278.68325180099,-95.65188919536844,4.0,4.0
-278.42872750807004,-95.30749112156863,4.0,4.0
-278.17417265372785,-94.96316155252998,4.0,4.0
-277.91952610980445,-94.61890048916217,4.0,4.0
-277.664879560201,-94.2746165882154,4.0,4.0
-277.41020243879456,-93.93025656512745,4.0,4.0
-277.1553725017751,-93.58584325911082,4.0,4.0
-276.9005120028752,-93.24138427773684,4.0,4.0
-276.6455598160339,-92.89694052260595,4.0,4.0
-276.39060762849107,-92.55251960139202,4.0,4.0
-276.13562488868297,-92.20822808418733,4.0,4.0
-275.8806421540765,-91.86401268582186,4.0,4.0
-275.7531660684831,-91.69189356975804,4.0,4.0
-275.62568998163823,-91.51976684040343,4.0,4.0
-275.3707072430096,-91.17550576918691,4.0,4.0
-275.1156633810819,-90.83121425017245,4.0,4.0
-274.98803448308655,-90.65901140349811,4.0,4.0
-274.8603444603872,-90.48686944989981,4.0,4.0
-274.6051172271094,-90.142585543178,4.0,4.0
-274.34992055550396,-89.79832447154317,4.0,4.0
-274.222383350013,-89.62628147297315,4.0,4.0
-274.09487671060873,-89.45423086417806,4.0,4.0
-273.8397106185432,-89.11025904695009,4.0,4.0
-273.5846056456634,-88.7662187202436,4.0,4.0
-273.3294395371132,-88.42210227106177,4.0,4.0
-273.07415117549147,-88.0779325375959,4.0,4.0
-272.81874056471594,-87.73368668388865,4.0,4.0
-272.5632993916838,-87.38944844198744,4.0,4.0
-272.3078582203057,-87.04522542557434,4.0,4.0
-272.05238650102496,-86.70111658941735,4.0,4.0
-271.79691479033374,-86.35711432168749,4.0,4.0
-271.5414736453766,-86.0131120537009,4.0,4.0
-271.413753072535,-85.84113756164723,4.0,4.0
-271.2860324994838,-85.6691402330978,4.0,4.0
-271.03046910390475,-85.3251760231334,4.0,4.0
-270.7748140222368,-84.98118136571853,4.0,4.0
-270.6470017629748,-84.80919925970937,4.0,4.0
-270.51915894107407,-84.63720954360619,4.0,4.0
-270.2635344222436,-84.2932605544483,4.0,4.0
-270.00778765899423,-83.94937246415412,4.0,4.0
-269.87994484170764,-83.77743602911474,4.0,4.0
-269.7520408996712,-83.60553004320278,4.0,4.0
-269.49629414086644,-83.26171806899497,4.0,4.0
-269.24057794307265,-82.91792131918871,4.0,4.0
-269.11264343743034,-82.74602294483304,4.0,4.0
-268.98470893133236,-82.57414740209745,4.0,4.0
-268.7288093555498,-82.23035064967769,4.0,4.0
-268.472940340984,-81.88659956707227,4.0,4.0
-268.21697963767275,-81.54287131819538,4.0,4.0
-267.9609578077176,-81.19915829166304,4.0,4.0
-267.70487485113006,-80.85547571237713,4.0,4.0
-267.44882245576713,-80.51180074212604,4.0,4.0
-267.19267837181826,-80.16815622007442,4.0,4.0
-266.93650372420217,-79.82451930721624,4.0,4.0
-266.6802985128876,-79.48092045165515,4.0,4.0
-266.4241238631159,-79.13735204613275,4.0,4.0
-266.1677964003951,-78.79380647310066,4.0,4.0
-265.91140781152103,-78.4502685129712,4.0,4.0
-265.6550497842078,-78.10675338461996,4.0,4.0
-265.5268707704779,-77.93499962594566,4.0,4.0
-265.39866119433105,-77.76326109166978,4.0,4.0
-265.1422114803893,-77.41982208254379,4.0,4.0
-264.88570064134535,-77.07642874226303,4.0,4.0
-264.757460502155,-76.90475871319964,4.0,4.0
